BLUETOOTH, 90.44, 60.32, 0.00, HM-10, HM-10
BRUSHLESS_MOTOR_DRIVER, 68.42, 20.32, 180.00, Value, PWP0028C_N
C1, 46.99, 63.75, 90.00, 22p, C0603-ROUND
C12, 28.70, 34.80, 270.00, 22p, C0603-ROUND
C13, 28.70, 41.40, 90.00, 22p, C0603-ROUND
C2, 3.81, 39.37, 90.00, 100n, C0603-ROUND
C3, 56.64, 44.70, 90.00, 100n, C0603-ROUND
C4, 16.51, 49.53, 180.00, 100n, C0603-ROUND
C5, 16.51, 53.34, 180.00, 100n, C0603-ROUND
C6, 16.51, 57.15, 180.00, 100n, C0603-ROUND
D1, 3.81, 16.51, 270.00, M7, SMB
IC4, 43.18, 44.45, 0.00, ATMEGA328PB-MN, QFN32_5X5_0.50
LED1, 81.03, 42.67, 90.00, , CHIP-LED0805
LED2, 22.86, 47.75, 180.00, YELLOW, CHIP-LED0805
LED3, 31.24, 32.00, 90.00, YELLOW, CHIP-LED0805
MOTOR_DRIVER1, 39.37, 21.59, 90.00, Value, PWP0028C_N
ON, 62.23, 44.96, 0.00, GREEN, CHIP-LED0805
PC1, 13.97, 21.59, 180.00, 47u, PANASONIC_D
PC2, 5.84, 50.04, 90.00, 47u, PANASONIC_D
R1, 28.70, 38.10, 270.00, 1M, R0603-ROUND
R10, 42.93, 29.46, 90.00, 10K, M0805
R11, 58.93, 40.64, 180.00, 1K, M0805
R3, 30.99, 38.10, 90.00, 27R, R0603-ROUND
R6, 36.58, 32.00, 180.00, 1K, M0805
R9, 26.92, 48.77, 180.00, 1K, M0805
U1, 13.46, 38.42, 0.00, LT1129IST-3.3TRPBF, SOT-223_ST_LIT
Y1, 25.15, 38.10, 90.00, 16MHz, RESONATOR
